,"Active Status","Type","Item","Description","Sales Tax Code","Purchase Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","U/M","U/M Set","Cost","Preferred Vendor","Tax Agency","Price","Gross Price","Amounts Include Tax","Reorder Pt (Min)","Manu. Part No.","Purchased for Resale","Sales Tax Return Line","Price L1","Price L2","AZ","Note","itemname"
,"Active","Inventory Part","Processors:AMD:AR5-1500X","AMD Ryzen 5 1500X 4-Core 3.5G/AM4/65W","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 5 1500X 4-Core 3.5G/AM4/65W",0,"each (ea)","Count in each",199.00,,,0.00,0,"No","","YD150XBBAEBOX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR5-1600","AMD Ryzen 5 1600 6-Core 3.2G/AM4 65W","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 5 1600 6-Core 3.2G/AM4 65W",0,"each (ea)","Count in each",148.06,,,0.00,0,"No",""," YD1600BBAEBOX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR5-1600X","AMD Ryzen 5 1600X 6-Core 3.6G/AM4 95W","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 5 1600X 6-Core 3.6G/AM4 95W",0,"each (ea)","Count in each",254.87,,,0.00,0,"No","","YD160XBCAEWOF","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR5-2400G","AMD Ryzen 5 2400G Quad-Core 3.6G/AM4/65W Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 5 2400G Quad-Core 3.6G/AM4/65W Retail",0,"each (ea)","Count in each",176.00,,,0.00,0,"No","","YD2400C5FBBOX","No",,"184/0521","185","249","elco 176/0521",
,"Active","Inventory Part","Processors:AMD:AR5-2600","AMD Ryzen 5 2600 6-Core 3.4G/AM4/65W Processor","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 5 2600 6-Core 3.4G/AM4/65W Processor",36,"each (ea)","Count in each",230.46,,,253.99,287.0087,"No","","YD2600BBAFBOX","No",,"231/0104","232","228/0616","199.99/cc/1211","Ryzen 5-2600"
,"Active","Inventory Part","Processors:AMD:AR5-2600X","AMD Ryzen 5 2600X 3.6G/AM4/95W 6Core/12 Thread Box","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 5 2600X 3.6G/AM4/95W 6Core/12 Thread Box",35,"each (ea)","Count in each",246.62,,,279.99,316.3887,"No","","YD260XBCAFBOX","No",,"252/0104","253","305.99/0504",,"Ryzen 5-2600X"
,"Active","Inventory Part","Processors:AMD:AR7-1700","AMD Ryzen 7 1700 3.0G/AM4 8-Core 65W Processor","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 7 1700 3.0G/AM4 8-Core 65W Processor",0,"each (ea)","Count in each",234.18,,,0.00,0,"No","","YD1700BBAEBOX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR7-2700","AMD Ryzen 7 2700 3.2G/AM4/65W 8C/16T Box","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 7 2700 3.2G/AM4/65W 8C/16T Box",0,"each (ea)","Count in each",241.07,,,299.99,338.9887,"No","","YD2700BBAFBOX","No",,"249/0413","251","299.99/0403",,
,"Active","Inventory Part","Processors:AMD:AR7-2700X","AMD Ryzen 7 2700X 8-Core 3.7 GHz (4.3 GHz Max Boost) Socket AM4 105W YD270XBGAFBOX Desktop Proce...","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 7 2700X 8-Core 3.7 GHz (4.3 GHz Max Boost) Socket AM4 105W YD270XBGAFBOX Desktop Proce...",3,"each (ea)","Count in each",285.55,,,359.99,406.7887,"No","","YD270XBGAFBOX","No",,"299/0105","302","345.99/0401",,"AR7-2700X"
,"Active","Inventory Part","Processors:AMD:AS-3850","AMD Sempron X4-AM1 (3850) 1.3G/2M/25W with Radeon HD8280","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Sempron X4-AM1 (3850) 1.3G/2M/25W with Radeon HD8280",3,"each (ea)","Count in each",38.60,,,0.00,0,"No","","SD3850JAHMBOX","No",,"39","39","49.99/0401",,"AS-3850"
