,"Active Status","Type","Item","Description","Sales Tax Code","Purchase Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","U/M","U/M Set","Cost","Preferred Vendor","Tax Agency","Price","Gross Price","Amounts Include Tax","Reorder Pt (Min)","Manu. Part No.","Purchased for Resale","Sales Tax Return Line","Price L1","Price L2","AZ","Note","itemname"
,"Active","Inventory Part","Processors:INTEL:i5-9400","Intel Core i5-9400 2.9G/9M/S1151 65W Retail (BX80684I59400)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i5-9400 2.9G/9M/S1151 65W Retail",48,"each (ea)","Count in each",271.35,,,0.00,0,"No","","BX80684I59400","No",,"238/0525","239","302.99/0413","251.51/0504/asi","i5-9400"
,"Active","Inventory Part","Processors:INTEL:6136-OEM","Intel Xeon Gold 6136 (3.0G/24.75M/12C) FCLGA3647 (OEM)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon Gold 6136 (3.0G/24.75M/12C) FCLGA3647 (OEM)",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","",,"No",,,,,,
,"Active","Inventory Part","Processors:INTEL:G5400","Intel Pentium Gold G5400 3.7G/4M LGA1151/65W with Inte UHD Graphics 610","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Pentium Gold G5400 3.7G/4M LGA1151/65W with Inte UHD Graphics 610",3,"each (ea)","Count in each",69.42,,,0.00,0,"No",""," BX80684G5400","No",,"73/0511","74","95.99/0402",,"G5400"
,"Active","Inventory Part","Processors:INTEL:i9-9900X","Intel Core i9-9900X 3.5G/19.25M/LGA2066 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i9-9900X 3.5G/19.25M/LGA2066 Retail",0,"each (ea)","Count in each",1240.64,,,0.00,0,"No",""," BX80673I99900X","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i5-9400F","Intel Core i5-9400F 2.9G/2M/LGS1151 65W Retail required discrete graphic card (BX80684I59400F)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i5-9400F 2.9G/2M/LGS1151 65W Retail BX80684I59400F",2,"each (ea)","Count in each",204.50,,,255.99,289.2687,"No","","BX80684I59400F","No",,"209/0601","210","249.99/0507",,"i5-9400F"
,"Active","Inventory Part","Processors:INTEL:4110","Intel CPU BX806734110 Xeon Silver 4110 8C 2.1GHz 11MB FC-LGA14 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel CPU BX806734110 Xeon Silver 4110 8C 2.1GHz 11MB FC-LGA14 Retail",0,"each (ea)","Count in each",646.00,,,0.00,0,"No","","BX806734110","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:4114","Intel Xeon Scalable Silver 4114 SkyLake 10-core 2.2G LGA 3647 85W Server Processor","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon Scalable Silver 4114 SkyLake 10-core 2.2G LGA 3647 85W Server Processor",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","BX806734114","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:6130","Intel Xeon Gold 6130 - 2.1GHz 22M Cache 125W Socket FCLGA3647","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon Gold 6130 - 2.1GHz 22M Cache 125W Socket FCLGA3647",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","BX806736130","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:E3-1220v6","Intel Xeon E3-1220v6 3.0G/LGA1151 72W Server Processor","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon E3-1220v6 3.0G/LGA1151 72W Server Processor",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","BX80677E31220V6","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:E3-1225v6","Intel Xeon E3-1225v6 3.3GHz 8MB 4 Cores 4 Threads FCLGA1151 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon E3-1225v6 3.3GHz 8MB 4 Cores 4 Threads FCLGA1151 Retail",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","BX80677E31225V6","No",,,,,,
